Name,Release date,Price,Average playtime forever,Developers,Publishers,Genres,About the game,Estimate users,Estimated gross profit,Review score,Total days,Extras trophy,Operating System,year
Mahjong Quest Collection,2009-08-24,9.99,0,iWin,iWin,Casual,"Includes the first three installments of Mahjong Quest , the epic tale of tile matchmaking! What's the meaning of happiness? You are Kwazi. Starting from a mysterious birth at a mountaintop monastery and ending as a wizened old man, you use your grandfather's ancient Mah Jong set to solve an ever-challenging series of puzzles. As you play Mah Jong Quest 3, you'll make life choices that take you though battles against dragons, unreturned love, twisty career paths, artistic fulfillment, utter devastation, spiritual awakening, a rebuilding, and ultimately a blossoming family. The story unfolds based on the decisions you make, so choose wisely. In the end, only you can match the tiles and find the balance that brings about true Happiness. Unlimited Play Four Game Modes: Quest, Freeplay, Tournament, and Variations 72 Challenging Levels in Quest Mode More than 800 New Puzzles Hundreds of Classic Layouts Nature has struck back. The world has fallen into a state of imbalance, splitting our teenage here Kwazi into the male Kwazi White and Female Kwazi Black. You must help the Kwazis advance through the eight mystical lands, matching pairs and triplets like never before. Only you can restore harmony to the world. 8 lands with 8 levels each in Kwazi's Quest, each with it's own special tiles Over 500 new puzzles Dozens of special tiles and monstrous surprises! NEW Tournament mode! 32 unique puzzles Play against competitors on-line Mind-blowing animation! Over 144 classic layouts Unlimited game play! Play as long as you live - forever! More than an addictive puzzle game - a true cinematic experience. After three dragons wreak havoc over the empire, young Kwazi must use an ancient set of Mah Jong tiles to restore balance. Enjoy sweeping animations as you help Kwazi journey through the Orient, meet wise animal guides, and use an amazing array of special tiles to solve tricky puzzles. In addition to this great story, you can also enjoy your favorite layouts in Classic-style play, and whole new challenges in Puzzle-style play. Reveal unique tiles that provide special powers Classic Play: over 80 classic layouts, endlessly replayable with unlimited shuffles Puzzle Play: more incredible power tiles and 80 more brain-teasing layouts Play your favorite layouts in special modes for stimulating challenges",22,219.78,18,5242,0,True,2009
Nancy Drew®: Last Train to Blue Moon Canyon,2009-10-10,6.99,0,HeR Interactive,HeR Interactive,Adventure,"Nancy Drew®: Last Train to Blue Moon Canyon is a first-person perspective, point-and-click adventure game. The player is Nancy Drew and has to solve a mystery. Explore rich environments for clues, interrogate suspects, and solve puzzles and mini-games. The Hardy Boys have invited you, as Nancy Drew, on a train ride out West hosted by beautiful and prominent socialite, Lori Girard. Lori has gathered the greatest minds in mystery to solve a century-old secret and the haunted train is their best clue. The luxurious train once belonged to Jake Hurley, who set out long ago to find the mother lode during mining mania. Years later, Jake's train was found in Blue Moon Canyon with the engineer slumped over in the car - dead. Jake had mysteriously vanished... Climb aboard as Nancy Drew and see if you can uncover the truth at the end of the line! Dare to Play.™ Meet the Hardy Boys® as they ride the rails of adventure. Find secrets in the train’s caboose, dining car, master suite. Play pachinko, sort heirloom dolls, and be a short order cook. Explore a crypt, mining museum, and Jake’s mine. Use the camera cell phone to take pictures and call for hints. Erase mistakes by using the ‘Second Chance’ feature.   About The Nancy Drew Adventure Series The original #1 selling PC adventure series. See a comparison of the Dossier and Adventure Series",241,1684.59,209,5195,0,True,2009
Spectromancer,2009-02-11,6.99,113,"Apus Software,Three Donkeys LLC",Three Donkeys LLC,"Indie,Strategy","Open your mind and discover your power as you explore the world of Spectromancer! A turn-based online fantasy card game, co-designed by Magic: The Gathering's Richard Garfield and Alexey Stankevich, creator of Astral Tournament and Astral Masters, Spectromancer allows players to participate in a magical duel against other mages by strategically summoning creatures and casting spells. Play as one of six powerful types of wizards and take on the corrupt council of magic and its innumerable minions. Each mage uses five magical elements during a duel - Fire, Water, Air, Earth and a fifth related to the specific mage type. Using one of six mage types in the game, Clerics, Mechanicians, Necromancers, Chaosmasters, Dominators and Illusionists, players duel against the computer or against other online players live. By adding new spells and new allies to your side, players will open new strategic options to master. Spectromancer provides a varied pallet of foes and environments that force players to watch every turn of a card. Each player takes on a journey of discovery reflected in the tricks they master as a player, with the challenges increasing in multi-player, Spectromancer pits players against hundreds of challenges of amazing tactical depth. Co-designed by Richard Garfield, the creator of Magic: The Gathering A turn-based strategy game with an elegant interface and great depth Wide variety of spells and mages gives nearly endless replay value Multiple levels of difficulty to provide player of all skill levels a challenge Play as one of six different types of mages, each with unique spells and strategies Pit yourself against players from around the world in multi-player play Build your character's spells and abilities over time in the extensive campaign",250,1747.5,172,5436,1,True,2009
Quantz,2009-09-03,9.99,39,Gamerizon,Gamerizon,"Indie,Casual","Experience a new dimension of puzzle action game fun in QuantZ for the PC; a fabulous adventure that goes beyond the Action-Puzzler, Match-3 and Marble Popper genres. The gameplay is simple yet addictive: you have the power to control a cube with your mouse and drop marbles onto it. Create explosions of colors, chain reactions and win special rewards. Explore an immersive universe and become the QuantZ Oracle! With 24 unique and beautiful worlds to go through, 100 puzzles to complete and innovative game physics, QuantZ will amaze you! Key features: A unique Action Puzzle gameplay Easy to play 3 distinct game modes: Strategy, Action and Puzzle 24 worlds and 100 puzzles to solve Captivating graphic and music More than 30 hours of fun Key Steam-Exclusive Features: Cloud &mdash; Save your progress in the Steam Cloud and pick up where you left off from any PC running Steam. Achievements &mdash; Collect all 15 Steam Achievements Leaderboards &mdash; QuantZ has seven leaderboards: Action Mode High Scores Strategy Mode High Scores Best Explosion Streak Number of Puzzles Solved QuantZ Launched to Complete Action Mode QuantZ Launched to Complete Strategy Mode Time to Complete Puzzle Mode",44,439.56,15,5232,15,True,2009
For The Glory: A Europa Universalis Game,2009-11-11,9.99,0,Crystal Empire Games,Paradox Interactive,Strategy,"Take up the reigns of your country, guide domestic and foreign policy, navigate thousands of historical events, engage in various struggles and lead your country to prosperity – all in the name of glory! For the Glory offers full historical immersion, with a completely new indepth experience with over 10000 historically accurate events. Take charge of the mighty Habsburg Empire, the aggressive Swedish state, or the seafaring Portuguese. Build up your empire through trade, diplomacy, colonialism and war. Interact with real historical events and persons to determine what path your nation will take. Nothing is written in stone, and while a wise leader may choose to follow the path of history, you may also take advantage of opportunities for change. Main Features: You can play as over 180 countries, on a map covering the entire world Era spanning 1419-1819 Experience unparalleled historical immersion with over 10000 historical events Unparalleled mod-ability: unlimited timeframe and up to 1000 counties Improved and modernised interface Adapt your playing style",130,1298.7,50,5163,0,True,2009
Jewel Quest Pack,2009-08-24,19.99,0,iWin,iWin,Casual,"Includes the first three titles in the the ultimate jewel matching adventure, Jewel Quest ! Rupert and Emma have settled down and opened a museum to display their many artifacts. While playing with a mysterious jewel board, their daughter unknowingly pops open a secret compartment. Suddenly, the air is filled with spores, and Natalie's vision fades. Desperate to save their daughter's sight, Rupert and Emma search the globe in search of the fabled Golden Jewel Board, rumored to hold the antidote that will cure her, but does it even exist? Guided by cryptic clues left by a shady stranger, Rupert and Emma encounter new challenges; wild monkeys to capture, powerful pearls that can alter the jewel boards, and head-to-head competition that pit you against renowned experts, Hani and Sebastian. Time is running out! It's up to you to follow the clues and find the cure! 200 levels in 11 regions 30 different jewels Visit every continent, while working on quests to earn jewels and artifacts Search for the fabled Golden Jewel Board Join Professor Pack on the ultimate jewel matching adventure across the world's richest continent. The dangers of the safari, The history of the Zimbabwe ruins and the majesty of Victoria Falls await your discovery, filled with puzzles of skill and twists, while surrounded by gorgeous dynamic backdrops and animation. Get swept away by the heart pounding soundtrack as you're immersed in realistic and authentic African settings. Discover an amazing new element of fun with the Exclusive Dueling Jewels Tournament Play: Pit your jewel matching skills against others around the world! Play against other players, or be matched with a computer opponent! Embark on a thrilling journey in a story filled with adventure, love, and betrayal that changes with every replay! Map your progress through 180 challenging puzzles Encounter buried relics, cursed items, and mind-boggling boards Stunning graphics, captivating music, and wild sounds Get special hints to help you with your battle against time Explore the ancient ruins of Mayan civilization while discovering hidden treasures and priceless artifacts. In this unique new take on the classic-style matching game, you must rearrange valuable relics to turn sand tiles into gold. When all of the tiles in a puzzle board are golden, you win! As you venture deeper into the jungle, you will encounter increasingly difficult puzzles containing secret twists, cursed items, and buried artifacts. Earn the respect of your fellow archaeologists and collect oodles of treasure and jewels!",22,439.78,16,5242,0,True,2009
Gyromancer,2009-11-18,5.99,62,"Square Enix,PopCap Games, Inc.",Square Enix,RPG,"Gyromancer is a Pop Cap / Square Enix collaboration. This is a Puzzle RPG. Join Rivel and his companion, Laska, on a grand chase spanning twelve stages. What awaits at the end of the hunt? Each stage contains its own objectives, from defeating the beasts that block your way to solving puzzles before time runs out. Rivel can learn to summon dozens of the beasts he encounters, bending their power to his will. Each beast you command in battle is unique, so find the one that best suits your play style. Hidden within each stage are a number of awards earned for completing feats great and small. Finding them all won't be easy. Are you up to the challenge? New battle system based on Bejeweled Twist Command unique beasts to battle your foes Search the map for items, coins, and new beasts to fight at your side Gain levels in battle and acquire powerful new beasts Assume the role of Rivel, a deadly mage, as he rids Aldemona Wood of a brooding darkness",298,1785.02,20,5156,0,True,2009
Raycatcher,2009-04-17,4.99,0,"Thinking Studios,Slam Dunk Studios",Thinking Studios,"Indie,Casual","Raycatcher is an innovative new game that syncs gameplay to your favorite mp3s. Load in your entire music library and watch as the game morphs itself to match. The gameplay itself is easy to pick up, yet compelling. Rotate a cluster of colorful shapes to catch matching rays of light cast onto your screen. As you match light to shape, your cluster will expand and evolve. Raycatcher also comes with a selection of great music from the brilliant new artist Noobie Noobinson. Load in your own music: Raycatcher will accept .mp3 and .wav formats Beat detection technology: Changes gameplay to match your music in pleasant and creative ways Make playlists of any length: Raycatcher is flexible and allows you to play for how ever long you want, and still feel like you've made progress Original music by artist Noobie Noobinson: Music by a new up and coming band, some of which was created specifically for Raycatcher 30 evolutionary stages: Complete with funny and enlightening descriptions. Raycatcher illustrates a cute and informative view of the kosmos Range of difficulty: Easy to pick up, with 3 difficulty levels that range from easy-yet-challenging to insanely difficult",14,69.86,-14,5371,0,True,2009
Windosill,2009-09-25,2.99,90,Vectorpark,Vectorpark,"Adventure,Casual,Indie","Ten mysterious rooms. A short, surprising, toy-like puzzle game.",1060,3169.4,877,5210,0,True,2009
Two Worlds Epic Edition,2009-04-30,2.49,392,Reality Pump Studios,Topware Interactive,RPG,"... 300 years after Aziraal has been banished, a brother and sister are drawn into the conflict which has flared up between the Orcs and the free world. Kyra, the hero's younger sister, suddenly disappears in mysterious circumstances. « ...If my family really belongs to the chosen ones, why then have we always been as poor as church mice? I have never given much credence to all the old stories about a relict in our family's possession - one which supposedly bannedAziraal, the god of the Orcs - they say that only those ofmy bloodwere chosen to safeguard the secret. 'Tis nothing but nonsense methinks – however, my sister Kyra always listened eagerly to the stories of the old ones... but she vanished several months ago... » To all intents and purposes you're an unscrupulous bounty hunter and mercenary - but the search for your sister takes you back to your roots. At the beginning of your epic adventure, a mercenary task takes you to the far north - but you're also following up a mysterious lead at the same time - the first clue you've been given since Kyra's disappearance. You get a shock during a meeting with the delegates of a dark Brotherhood - your sister's kidnappers are indeed after your family's relict. Whether there's any truth in your family being chosen ones or not, the others obviously believe it - and if you ever want to see Kyra alive again, you'll have to act swiftly... Includes the original Two Worlds, plus the add-on Tainted Blood OVER 90 NEW QUESTS: Journey even deeper into the world of Antaloor with over 90 new quests and eight new multiplayer maps Soundtrack by Grammy Award Winner Harold Faltermeyer FEATURES: STUPENDOUS LANDSCAPES: in a fantasy world where every inhabitant leads a separate dynamic life with realistic daily routines, your deeds will determine the fate of the strife-torn land of Antaloor. PLAYING FREEDOM: Two Worlds is not for those who don't like making decisions, because you'll often have to take one side or the other  an intelligent, networked reputation system for guilds and secret societies makes sure of that. KNIGHT, THIEF, MAGE OR ALCHEMIST: spectacular, dynamically-choreographed fights on foot or at full gallop. An absorbing alchemy system for creating individual potions and power-ups provides diversification - and carrying out break-ins in Sneak mode will have your nerves jangling! If this still isn't enough, try the sophisticated magic system... INTUITIVE INTERFACE AND INDIVIDUAL DEVELOPMENT OF ATTRIBUTES: you can experiment with all the character attributes and develop your skills as and when you like. An elaborate inventory system ensures that you always have a clear overview  no matter how hot the action gets. MASSIVE MULTIPLAYER INCLUDED: bustling towns are the trading centers and meeting points for several hundred players. Self-created characters fight gripping PvsP duels in Arena mode  or solve a series of exciting quests as allies. UPDATED GAME ENGINE: The brand new 1.6 engine update now included!",5060,12599.4,2541,5358,3,True,2009
Nancy Drew®: Curse of Blackmoor Manor,2009-10-10,6.99,0,HeR Interactive,HeR Interactive,Adventure,"Nancy Drew®: Curse of Blackmoor Manor is a first-person perspective, point-and-click adventure game. The player is Nancy Drew and has to solve a mystery. Explore rich environments for clues, interrogate suspects, and solve puzzles and mini-games. All is not well in Blackmoor Manor, a Fourteenth Century English mansion haunted by a tragic past. You, as Nancy Drew, embark on your first international adventure to visit Linda Penvellyn, your neighbor's daughter and newlywed wife of a British diplomat. A mysterious malady keeps Linda hidden behind thick bed curtains. Is she hiding from something or someone, or is a more menacing threat stalking her? Face your fears to find the truth! Dare to Play.™ Travel to England and solve challenging puzzles to break the manor’s evil curse. Snoop and sleuth through gorgeously detailed rooms for clues. Meet intriguing suspects, including a sardonic talking parrot. Erase mistakes by using the ‘Second Chance’ feature. Play at your own pace with Junior and Senior detective levels.   About The Nancy Drew Adventure Series The original #1 selling PC adventure series. See a comparison of the Dossier and Adventure Series",263,1838.37,195,5195,0,True,2009
Chains,2009-07-01,2.99,383,2dengine,Meridian4,Indie,"Chains is a challenging puzzle game with a unique feel and distinctive vector graphics style. The object of the game is simple - to link adjacent bubbles of the same color into chains. As you progress through the physics-driven stages it becomes increasingly more challenging and players' speed, strategy and skill will be put to the test. 20 levels each focusing on action, strategy or flow Physics-driven gameplay 3 difficulty modes Colorblind option Up to 15 player profiles Unique art direction with beautiful vector graphics Soundtrack from the Belgian electro band Silence Unlimited replayability value",598,1788.0200000000002,296,5296,0,True,2009
Joint Operations: Combined Arms Gold,2009-09-29,19.99,0,NovaLogic,"NovaLogic,THQ Nordic",Action,"The most ferocious online conflict of the 21st century is now available in its most definitive form: introducing Joint Operations: Combined Arms Gold, the largest multiplayer FPS collection ever. With the award-winning Joint Operations: Typhoon Rising and the bestselling Joint Operations: Escalation together in one convenient package, it's easier than ever to join the world record setting large scale modern warfare that critics have called 'extremely intense,' and 'an absolute blast.' (PC Gamer) Play in games of up to 150 players online via the all-new, blazing fast NovaWorld network, or host up to 64 player games on LAN Experience the most premium connections and sophisticated anti-cheat technology available with THREE MONTHS FREE NovaWorld Gold premium service included with purchase Battle over 30 unique, breathtaking and massive multiplayer levels across the diverse environments of Indonesia, from chemical weapons factories to ancient jungle ruins Choose your specially-skilled class of warrior from 7 different authentic fighting forces Crush your enemies with 35 fully drivable war machines, from M-1 battle tanks to LCAC amphibious assault hovercraft and Black Hawk helicopters",245,4897.549999999999,176,5206,0,True,2009
Roogoo,2009-12-17,0.59,8,Spidermonk Entertainment,SouthPeak Games,Casual,"Roogoo is an innovative and unusual 3D puzzle game that has players guide and stack different shaped blocks through various platforms to not only save planet Roo, but the entire Roogoo race. Roogoo tasks players with guiding meteors in the form of shaped blocks through a series of rotating disks as a means of saving planet Roo and the entire Roogoo race. If aligned correctly, the disks allow the blocks to reach the ground and scores are awarded. Various obstacles and enemies will impede the blocks' movement and with the flow of meteor blocks steadily increasing as the game progresses, players will have to think on their feet to save the Roogoo and rack up seriously high scores. Contains 45 levels of action packed puzzle racing games Easy to play, starting with two buttons and adding more functions as you advance Cute and funny short story segments throughout the game Appeals to everyone including both casual and serious gamers alike Interesting world objects and multi-layered game play progression Filled with fun imaginative creatures",333,196.47,203,5127,0,True,2009
Torchlight,2009-10-27,14.99,711,Runic Games,Runic Games,RPG,"Welcome to Torchlight! A sleepy enclave founded on the discovery of rich veins of Ember: a rare and mysterious ore with the power to enchant or corrupt all that it touches. Emboldened by its power, legions of twisted creatures have begun to swarm up from the tunnels and caves below town. Choose from three heroes in this Action-RPG and delve into the caverns below town for endless treasure and glory. Key Features RANDOMIZATION Your adventure is uniquely your own. Explore seven lovingly crafted environments randomly generated with new monsters, treasures, puzzles, and items each time you embark on your journey. MOD SUPPORT All the tools we used to make Torchlight are fully available in TorchED. Change your gameplay experience, or create something entirely new to explore and share. PETS &amp; FISHING Take a break from your fast-paced job adventuring and go fishing. Your catch will help you along your journey. Solo adventuring can be a lonely so chose a faithful companion to accompany you. Your pet will carry items for you, help you in battle, and – with the right fish – can even transform into powerful allies! RETIREMENT SYSTEM Hanging up your boots doesn't mean the adventure has to be over. “Retire” your hero and pass down a prized item imbued with unique attributes for your new hero.",5984,89700.16,4929,5178,66,True,2009
